Objra,Objdec,mangaid,plateifu
7.8252577,57.593286,  3-55932466 ,   8702-6104 
291.01369,37.660927,  3-12733826 ,   9132-6104 
215.449747404,42.327856382,    1-266288 ,   8333-3703 
296.52982,50.064673,  7-18237701 ,  9861-12704 
83.928151,-6.5810638,  3-60276308 ,   9533-1902 
51.291846,63.492815,  3-10400902 ,   8810-9101 
100.95012,-0.86199,    7-514658 ,   8782-6102 
139.18915,21.46752,      4-4602 ,   8117-1901 
257.752216191,56.9353408648,    1-595027 ,  7991-12701 
258.656838948,57.3054170144,     1-23951 ,   8625-3701 
122.519651295,19.7455904192,    1-383589 ,   9490-3704 
194.235751252,28.6233719519,    1-404279 ,   8935-3702 
352.76952,41.072289,  7-22892778 ,  9260-12704 
43.416024,36.421474,  7-23848482 ,  9521-12703 
65.212362,60.297929,   3-6470762 ,   8680-6102 
94.47179,44.42147,      4-1167 ,   8101-6104 
60.908941,36.225903,  7-25380058 ,   8665-3704 
166.08027,11.862428, 3-113701574 ,   9672-3703 
277.9983,3.2875816,  3-45213401 ,   9801-6104 
196.302144249,28.1524314734,    1-457198 ,  8933-12703 
114.733630043,47.4737808791,    1-548076 ,  8134-12704 
204.806912689,24.8930759381,    1-458316 ,   9881-1901 
119.811560997,37.3277476896,    1-122044 ,   9181-9102 
142.81433,48.493589, 3-149442302 ,  9775-12705 
94.044045,-6.586214,  7-27958565 ,   8908-3704 
63.606022,23.553356,  7-25426678 ,   8779-3704 
189.032061007,46.6432899922,    1-282653 ,  8341-12701 
322.44767,11.608183,  3-94513000 ,  9305-12701 
192.43669,-2.371971,   7-9259886 ,   8916-3704 
133.685669869,57.4802503218,     1-48188 , 10001-12702 
263.9209,55.47128,     1-24251 ,  8626-12705 
237.840393721,43.4176865196,    1-594069 ,   9036-3702 
289.81472,-0.92762228,  3-70952120 ,  9116-12703 
205.282730985,23.2820554311,    1-568584 ,   8311-6104 
320.25653,32.142034,  3-60679829 ,   9123-6104 
135.818210094,56.6253848319,     1-55552 ,  10001-9102 
322.44927834,0.396249358221,    1-289868 ,   8616-6102 
209.6777,32.631333,  7-10364379 ,   9683-6102 
86.240869,10.298298,  7-27290308 ,   9482-3702 
201.777437777,49.049317198,    1-234632 ,   8319-6103 
226.95596,36.218901,  7-11750223 ,   9772-1901 
207.067074342,25.7334869762,    1-423101 ,   8443-3702 
272.41767,-9.0634442,    3-109755 ,   8638-1902 
175.948649015,54.7074976278,    1-188218 ,  8995-12702 
274.00611,-4.7315169,  3-53542136 ,  9114-12705 
206.13123,-0.8482,     4-20929 ,  8266-12701 
281.77647,-26.402485,  3-96493623 ,   9074-9101 
198.00646,72.01789,   7-9466398 ,   9012-1902 
85.30866,-2.41813,  3-51016209 ,   8895-3702 
157.723267521,41.2210951037,    1-255090 ,  8455-12703 
